year,NASA,Hadley/UEA,NOAA,Cowtan&Way,Berkeley,Broecker 1975,Scenario 1,Scenario 2a,Second Assessment Low,Second Assessment Mean,Second Assessment High,Third Assessment Low,Third Assessment Mean,Third Assessment High,Scenario A,Scenario B,Scenario C,First Assessment High,First Assessment Mean,First Assessment Low,Fourth Assessment Low,Fourth Assessment Mean,Fourth Assessment High,AR5 Low,AR5 Mean,AR5 High,AR5 Mean Blended
1970,-0.13,-0.05,-0.14,-0.05,-0.07,0.01,-0.06,-0.08,,,,,-0.09,,-0.21,-0.1,-0.06,-0.16,-0.16,-0.16,-0.38,-0.15,0.08,-0.42,-0.17,0.08,-0.16
1971,-0.24,-0.21,-0.25,-0.19,-0.19,0.0,-0.06,-0.03,,,,,-0.09,,-0.18,-0.2,-0.16,-0.14,-0.14,-0.15,-0.42,-0.16,0.1,-0.31,-0.13,0.06,-0.12
1972,-0.14,-0.09,-0.15,-0.1,-0.1,-0.01,-0.06,-0.03,,,,,-0.09,,-0.1,-0.07,-0.03,-0.12,-0.13,-0.14,-0.32,-0.11,0.1,-0.28,-0.11,0.05,-0.1
1973,-0.01,0.04,-0.01,0.03,0.01,-0.01,-0.06,-0.06,,,,,-0.08,,-0.06,0.05,0.09,-0.1,-0.12,-0.13,-0.38,-0.11,0.15,-0.29,-0.11,0.07,-0.1
1974,-0.23,-0.23,-0.25,-0.21,-0.21,-0.02,-0.05,-0.06,,,,,-0.08,,-0.03,-0.03,0.02,-0.08,-0.1,-0.12,-0.4,-0.13,0.15,-0.25,-0.1,0.06,-0.09
1975,-0.17,-0.17,-0.17,-0.15,-0.15,-0.02,-0.05,-0.03,,,,,-0.07,,-0.17,-0.06,-0.02,-0.06,-0.09,-0.11,-0.32,-0.11,0.1,-0.28,-0.12,0.04,-0.11
1976,-0.27,-0.26,-0.25,-0.26,-0.26,-0.03,-0.04,-0.04,,,,,-0.06,,-0.01,-0.05,0.0,-0.04,-0.07,-0.1,-0.36,-0.09,0.18,-0.31,-0.11,0.08,-0.11
1977,0.03,0.02,0.03,0.03,0.04,-0.03,-0.04,-0.04,,,,,-0.05,,-0.1,-0.04,0.0,-0.02,-0.06,-0.09,-0.27,-0.04,0.19,-0.25,-0.06,0.12,-0.06
1978,-0.09,-0.09,-0.06,-0.08,-0.09,-0.03,-0.03,-0.03,,,,,-0.04,,-0.03,-0.1,-0.05,0.01,-0.04,-0.08,-0.19,-0.01,0.17,-0.18,-0.01,0.17,-0.01
1979,0.01,0.04,0.06,0.0,0.01,-0.03,-0.02,-0.02,,,,,-0.02,,0.02,-0.04,0.01,0.03,-0.02,-0.07,-0.25,-0.02,0.2,-0.15,0.02,0.2,0.02
1980,0.12,0.07,0.09,0.11,0.12,-0.03,-0.02,-0.01,,,,,-0.01,,0.09,-0.01,-0.05,0.06,-0.01,-0.06,-0.25,0.03,0.3,-0.11,0.05,0.21,0.04
1981,0.17,0.12,0.13,0.16,0.17,-0.03,-0.01,0.0,,,,,0.0,,0.14,-0.04,0.03,0.08,0.01,-0.04,-0.18,0.06,0.3,-0.05,0.08,0.22,0.08
1982,-0.02,-0.01,0.01,-0.04,-0.05,-0.02,0.01,0.01,,,,,0.02,,0.07,-0.05,0.0,0.11,0.03,-0.03,-0.22,0.02,0.26,-0.13,0.03,0.18,0.03
